,_step,training_loss
0,3,2.30746686738183
1,4,1167.3126944880496
2,5,2543.6020995833474
3,6,2835.623475552622
4,7,3036.9606329749136
5,8,2858.4478073933487
6,9,2786.891272831573
7,10,2707.0041129106144
8,11,2822.4886229948193
9,12,2849.6298703191633
10,13,2709.302000001041
11,14,2839.3430761406416
12,15,2659.3907226041943
13,16,2665.568945650861
14,17,2742.2505351312634
15,18,2919.4332236348946
16,19,2666.4350447990237
17,20,2859.8120411301475
18,21,2724.4364198469148
19,22,2685.27660950618
20,23,2715.0765060717617
21,24,2748.1341602187167
22,25,2678.4780900707124
23,26,2729.2069448377533
24,27,2564.705593995702
25,28,2644.334061156966
26,29,2680.936428696362
27,30,2679.8987001203523
28,31,2694.260404346848
29,32,2610.1239172441365
30,33,2703.9018666606976
31,34,2570.159860964777
32,35,2766.626866582614
33,36,2606.899171613681
34,37,2573.269242081307
35,38,2797.096480574943
36,39,2773.986100121602
37,40,2589.354597860308
38,41,2842.262110728445
39,42,2700.1114667229563
40,43,2729.453365496735
41,44,2723.347037699685
42,45,2614.2029623263425
43,46,2614.5618222364737
44,47,2668.344087580374
45,48,2776.055489936617
46,49,2675.3598346506865
47,50,2580.83550491821
48,51,2620.353629106143
49,52,2722.754040813649
50,53,2905.218459790195
51,54,2828.5317195412445
52,55,2686.3907082889127
53,56,2657.4640366283816
54,57,2735.324910828808
55,58,2575.2767864951193
56,59,2598.0614664366503
57,60,2515.246341534515
58,61,2677.416548283624
59,62,2701.9065727445363
60,63,2684.744345984225
61,64,2831.8747533867354
62,65,2786.9387292922943
63,66,2767.217192106918
64,67,2773.0492734604045
65,68,2666.5520870639825
66,69,2683.003584286297
67,70,2683.6568533240606
68,71,2626.464381756813
69,72,2705.1159910027154
70,73,2816.3147467184167
71,74,2720.365804643773
72,75,2791.8446638355376
73,76,2883.078318126166
74,77,2623.7485411426405
75,78,2762.887237483759
76,79,2617.949239572228
77,80,2670.0610768007064
78,81,2681.544779503015
79,82,2542.4871633566263
80,83,2539.843667231643
81,84,2665.374738030342
82,85,2780.336833636644
83,86,2653.224615881946
84,87,2761.036262951426
85,88,2728.7460968733344
86,89,2609.9559445899686
87,90,2857.6656824693496
88,91,2708.2696387447527
89,92,2667.985169107726
90,93,2699.1439060626
91,94,2779.162509422058
92,95,2555.031005468958
93,96,2658.7069510844217
94,97,2551.626621010461
95,98,2650.842283594583
96,99,2728.95071027223
97,100,2703.0989165153583
98,101,2637.723929789529
99,102,2748.5002147292275
100,103,2637.231346667194
