,_step,training_loss
0,3,2.3031954856823758
1,4,2.303113020305186
2,5,2.302924562364753
3,6,2.3027463726905872
4,7,2.302553723870056
5,8,2.3023785406084203
6,9,2.3021923702662943
7,10,2.302021683914575
8,11,2.3018265039936057
9,12,2.3016379225228643
10,13,2.301456614089673
11,14,2.3012733322216756
12,15,2.3010951222133027
13,16,2.30090665156399
14,17,2.300732699538599
15,18,2.3005415020721047
16,19,2.3003597462863556
17,20,2.300171355448806
18,21,2.299992416459106
19,22,2.299817118817555
20,23,2.2996271312363876
21,24,2.2994356211314577
22,25,2.2992605913930864
23,26,2.2990805782488923
24,27,2.29889578046575
25,28,2.298713181827114
26,29,2.298534761868052
27,30,2.298350042879963
28,31,2.298171754584892
29,32,2.2979997322757617
30,33,2.297798524279076
31,34,2.2976346641207046
32,35,2.297438130958248
33,36,2.2972582921798805
34,37,2.297075695574665
35,38,2.29688836618273
36,39,2.2967098613283525
37,40,2.296529443533436
38,41,2.296339126029757
39,42,2.296166388973244
40,43,2.2959861053840944
41,44,2.295803672977602
42,45,2.295614106822878
43,46,2.2954363594177183
44,47,2.2952591666280586
45,48,2.295070468743981
46,49,2.2948892665570226
47,50,2.2947023794340935
48,51,2.2945197192844806
49,52,2.2943446737870987
50,53,2.2941555432927636
51,54,2.2939788903763043
52,55,2.293796848894945
53,56,2.29360759182017
54,57,2.2934321940326488
55,58,2.293246368355334
56,59,2.293060903101842
57,60,2.2928720379689103
58,61,2.2926917482794984
59,62,2.2925121240270165
60,63,2.292337040911351
61,64,2.292147343600991
62,65,2.291956788695443
63,66,2.291774615550092
64,67,2.2915966963208816
65,68,2.2914037150360627
66,69,2.291218147603179
67,70,2.2910435052314546
68,71,2.2908582341696406
69,72,2.2906775377960855
70,73,2.2904876188428673
71,74,2.290301993457493
72,75,2.290119669330654
73,76,2.289929678191
74,77,2.2897474257422408
75,78,2.2895542690748854
76,79,2.2893716338346763
77,80,2.2891887815268057
78,81,2.288996270470528
79,82,2.28881864202048
80,83,2.2886280174702724
81,84,2.2884505105171122
82,85,2.2882485404960127
83,86,2.2880659647333594
84,87,2.2878784569087567
85,88,2.2876957677828984
86,89,2.2875047558660446
87,90,2.2873190537190387
88,91,2.287129318790395
89,92,2.286938717624526
90,93,2.2867583664241375
91,94,2.2865581858132695
92,95,2.286374874969027
93,96,2.286188127643772
94,97,2.2859993621484556
95,98,2.2858072384588244
96,99,2.28562159731444
97,100,2.2854231766292026
98,101,2.2852314753827256
99,102,2.2850396023121977
100,103,2.2848453887744244
