,_step,training_loss
0,3,8.396256654158883
1,4,7.147341242836564
2,5,6.494472209754807
3,6,5.804768375728441
4,7,5.083954437919285
5,8,4.439535451971966
6,9,3.949345943568003
7,10,3.5526585511844178
8,11,3.2167690696618747
9,12,2.92709275828603
10,13,2.6864353323836463
11,14,2.4851883524823983
12,15,2.322393018876195
13,16,2.1886098025095126
14,17,2.0794427541210827
15,18,1.9882089262423308
16,19,1.9102724906428696
17,20,1.851683817251259
18,21,1.7936855243599934
19,22,1.7431101314247113
20,23,1.701890262191558
21,24,1.6612176815871997
22,25,1.6258048352682988
23,26,1.5968375840150486
24,27,1.5658180003275957
25,28,1.535765985088885
26,29,1.5127294627601837
27,30,1.4837843045554198
28,31,1.460449423936322
29,32,1.438314056457461
30,33,1.4172429736617886
31,34,1.3932900989756865
32,35,1.3756255198012837
33,36,1.357333808298916
34,37,1.3396753731286128
35,38,1.3179849523412601
36,39,1.3007980036308697
37,40,1.2829861599770958
38,41,1.2655638843546133
39,42,1.2497217127734133
40,43,1.2294506326965664
41,44,1.2128808071546238
42,45,1.2013055651694002
43,46,1.1806422124433396
44,47,1.1628310034037246
45,48,1.1464372233051778
46,49,1.1316651496131096
47,50,1.1145623390327024
48,51,1.1021620471154332
49,52,1.083866367102279
50,53,1.0645862383305873
51,54,1.0553823192711071
52,55,1.0346410186089519
53,56,1.0204434528984987
54,57,1.0057629371238181
55,58,0.9895886028819072
56,59,0.9773269349046986
57,60,0.9644020612892288
58,61,0.9528555467610469
59,62,0.9331532535345658
60,63,0.914242707707388
61,64,0.910039572612099
62,65,0.8860475061189793
63,66,0.8707683476645623
64,67,0.8588615378455433
65,68,0.8399503644165176
66,69,0.82523725328543
67,70,0.8232233804814956
68,71,0.7993206794914383
69,72,0.7802568296032488
70,73,0.7676132568313033
71,74,0.7509155124044784
72,75,0.7443883734590867
73,76,0.7272302015967991
74,77,0.7068615821011536
75,78,0.6918857785899316
76,79,0.689403654288148
77,80,0.6724081227694021
78,81,0.6626596280833339
79,82,0.6402835476276515
80,83,0.6308199842567639
81,84,0.6182115808167421
82,85,0.6043107030184373
83,86,0.5943065386294099
84,87,0.5770859287675384
85,88,0.5593336912067345
86,89,0.5447318938077258
87,90,0.5431082691530438
88,91,0.5266529512984673
89,92,0.5172464955798195
90,93,0.514738829925542
91,94,0.4864531431509101
92,95,0.4829011745465076
93,96,0.4705091419884616
94,97,0.4621293726174728
95,98,0.4495671078981951
96,99,0.42998018357759854
97,100,0.4224135884086189
98,101,0.4048814559760301
99,102,0.40500015763523023
100,103,0.40028691566203867
