,_step,train_ppl
0,4,1771.5478260412401
1,5,1720.8325464359189
2,6,2661338745690.8125
3,7,2141.7940299607285
4,8,3047.1139291723457
5,9,17073.44180316877
6,10,2475.462790424377
7,11,2779.233411829532
8,12,19469.116899159762
9,13,27754.35264629198
10,14,8607.788510885086
11,15,5329.575187710379
12,16,3737.6556755284373
13,17,9849.87114171277
14,18,580255.8075553643
15,19,173639.95715675995
16,20,7618.762087386322
17,21,214857.34586367244
18,22,9155.20497081234
19,23,16700280.250915146
20,24,1498851.3116872413
21,25,1.4954014381823284e+27
22,26,20523.236397189004
23,27,63630.259362795055
24,28,10638883.752489967
25,29,55463.004915658894
26,30,2.398348365712646e+20
27,31,48910.120022810195
28,32,6444437.948830468
29,33,570539803.959014
30,34,29508.893334408476
31,35,15913.10801465398
32,36,380567.10067391564
33,37,70405133.62726796
34,38,27193680.29700311
35,39,95230940230737.0
36,40,215777.2848963042
37,41,7096641.342236026
38,42,2866062.1888059378
39,43,18078.411059559472
40,44,4.764208451239728e+20
41,45,2.150398852635373e+18
42,46,729173.3532175063
43,47,5829199887.355302
44,48,4377470118775742.5
45,49,1905541952.1064153
46,50,4507784927.918252
47,51,2755494.1510498
48,52,240681.8488269965
49,53,1315921.3837888646
50,54,4.8061446425370185e+28
51,55,1.293971410510135e+25
52,56,4348413.400003079
53,57,2531720499845849.5
54,58,951169185367.6832
55,59,7.327218810138719e+27
56,60,89194.45140121535
57,61,22948282.99382653
58,62,2147206005260.86
59,63,1.6585881630801818e+17
60,64,8224138.433397084
61,65,677949.6671435105
62,66,11656349655.964594
63,67,49185989287647.03
64,68,5.031132413901281e+22
65,69,5.801208225113131e+20
66,70,63744540356979.336
67,71,4286959496.190913
68,72,1475739506.3639991
69,73,34590372372239.83
70,74,4.005052432161337e+22
71,75,4.050843598076182e+24
72,76,1079973.4759987514
73,77,1458737884086.832
74,78,5.868128502229531e+23
75,79,218037817513.70053
76,80,4.5853228040604435e+25
77,81,5.438261055436701e+27
78,82,9.158678853837236e+21
79,83,3.3663527415788544e+19
80,84,7.839680530152837e+16
81,85,1.9013072901444223e+20
82,86,1364670009.611867
83,87,776162111.4726336
84,88,716474842738098.6
85,89,5750578561.352419
86,90,5.594793314211698e+28
87,91,266265749102.7575
88,92,762471481672289.9
89,93,2.770892156512715e+17
90,94,2.1782882011550493e+22
91,95,8.973045411923066e+21
92,96,2.2007433456022263e+25
93,97,2.0401105029773455e+19
94,98,1.185282068370656e+21
95,99,1645495061041.5247
96,100,50619462205080.87
97,101,3.4015118501955e+18
98,102,1.7138155501346864e+17
99,103,316369812855662.94
