,_step,train_ppl
0,4,858.2298293393206
1,5,650.1257699402415
2,6,536.3480623372203
3,7,462.53630380318447
4,8,413.94834717742975
5,9,375.3940158233772
6,10,343.1021065346093
7,11,318.70163356948467
8,12,298.2636795018969
9,13,278.052951924372
10,14,262.8035532663635
11,15,247.84415392496533
12,16,233.06537831593602
13,17,222.77684129595573
14,18,211.3046649556234
15,19,201.77129553285187
16,20,192.22188691147147
17,21,184.33205505681363
18,22,176.67185336255787
19,23,170.49799341363075
20,24,163.0175349415635
21,25,158.03136164643828
22,26,152.2426493416278
23,27,147.53393696130647
24,28,143.49111370230204
25,29,137.86912631614138
26,30,135.57179748016588
27,31,131.26939276381825
28,32,126.8618690012947
29,33,124.21188783626663
30,34,121.31538657268482
31,35,117.80132962967411
32,36,115.51881480519573
33,37,112.24556941686122
34,38,110.77143408611954
35,39,108.54483500481636
36,40,105.68615310257181
37,41,102.39961946990559
38,42,101.59257248385337
39,43,98.65089067717444
40,44,97.15957361048295
41,45,95.0424641692789
42,46,93.24570158670538
43,47,91.14574830226381
44,48,90.39509434183277
45,49,89.12827638253462
46,50,86.27089649151755
47,51,85.41615082557092
48,52,84.328197696491
49,53,83.11767078804712
50,54,81.73811386702104
51,55,80.22988771670758
52,56,78.62627712345594
53,57,77.26507775472041
54,58,76.12648113218786
55,59,75.29850594681308
56,60,74.4912917628462
57,61,73.22259143229653
58,62,71.38213200152596
59,63,70.87791060755104
60,64,70.52975428504635
61,65,69.07170362789533
62,66,68.60163966047826
63,67,66.9936422746046
64,68,66.03838940944763
65,69,65.29538981700114
66,70,65.03454255126829
67,71,63.53768591106051
68,72,63.263047145912374
69,73,62.59274396231009
70,74,61.29469689319392
71,75,60.68824737982164
72,76,60.2710366234223
73,77,59.07408508446899
74,78,58.78577081335791
75,79,58.24309063091725
76,80,57.48948543274073
77,81,57.29491160788903
78,82,56.10510535403792
79,83,55.680660356564246
80,84,54.62484448609239
81,85,54.15457497636792
82,86,53.628814056480365
83,87,52.91412115560713
84,88,53.28020567261943
85,89,51.86106942860276
86,90,51.72772915103778
87,91,51.66472801310251
88,92,50.98987095683142
89,93,49.80791394593157
90,94,49.52407215257779
91,95,48.80089773518297
92,96,48.631333869369264
93,97,48.43141141051456
94,98,47.616542160586164
95,99,46.9145004366747
96,100,47.03680914353747
97,101,46.0474751591678
98,102,45.76356613898235
99,103,45.45868475072905
