,_step,training_loss
0,3,10.459615076270977
1,4,7.735511854402761
2,5,7.1263178327587005
3,6,6.92891987497017
4,7,6.802081454094072
5,8,6.707867996996749
6,9,6.629147537268243
7,10,6.557288017559154
8,11,6.492985137661426
9,12,6.43746091621865
10,13,6.3871115334930915
11,14,6.340964202328894
12,15,6.2995926436887295
13,16,6.260660316655362
14,17,6.224792529021301
15,18,6.191021632534898
16,19,6.159156572908195
17,20,6.1303547519835115
18,21,6.101682716627213
19,22,6.075004491775365
20,23,6.04934305955615
21,24,6.024906878558258
22,25,6.00136701138201
23,26,5.9782843191140715
24,27,5.956608499361388
25,28,5.93587082579716
26,29,5.915769340907646
27,30,5.895599635084342
28,31,5.876960426281503
29,32,5.858138894983682
30,33,5.84014120643673
31,34,5.822808533491685
32,35,5.805256171497374
33,36,5.7890042762919895
34,37,5.772546693570872
35,38,5.755795035203809
36,39,5.740793583349655
37,40,5.724834952195996
38,41,5.709818947353547
39,42,5.6946625203565
40,43,5.6804495690847645
41,44,5.66671746438978
42,45,5.652717397143986
43,46,5.638179733055581
44,47,5.624507137433509
45,48,5.611115027853914
46,49,5.597269369986024
47,50,5.583863507768604
48,51,5.570681873497344
49,52,5.558459169483901
50,53,5.54492589361798
51,54,5.533033664842383
52,55,5.52105678239436
53,56,5.50830600703772
54,57,5.496554915416918
55,58,5.484131028031229
56,59,5.471627146995847
57,60,5.460857907036621
58,61,5.448210318116641
59,62,5.43663528417851
60,63,5.426332306120813
61,64,5.4141371329369905
62,65,5.40287805293534
63,66,5.392549399266544
64,67,5.380800779226125
65,68,5.3709566958592
66,69,5.360057852275885
67,70,5.3496054371325785
68,71,5.33887221601104
69,72,5.328430734391126
70,73,5.318530755794317
71,74,5.309329796450697
72,75,5.298143008130923
73,76,5.288654049365339
74,77,5.278839417975815
75,78,5.269397271024452
76,79,5.260371351293173
77,80,5.251133689798598
78,81,5.241100874999967
79,82,5.232140499168143
80,83,5.222700765534102
81,84,5.21416633663198
82,85,5.204821936698333
83,86,5.196513653312593
84,87,5.187253428169896
85,88,5.178921719456025
86,89,5.169760500119813
87,90,5.160931281082628
88,91,5.153506447647929
89,92,5.144904558809368
90,93,5.13577547155137
91,94,5.127853843815712
92,95,5.1198487930870265
93,96,5.112223219385996
94,97,5.104525553835167
95,98,5.096362287208581
96,99,5.087640582940203
97,100,5.080558925579599
98,101,5.073012827804745
99,102,5.06498530031145
100,103,5.0575282131616195
