,_step,training_loss
0,3,11.444566209602844
1,4,467391.89249873953
2,5,3328834.0480699465
3,6,17967.056951420385
4,7,473.45551622005377
5,8,465.36040869515267
6,9,472.70071699918077
7,10,469.7282900602921
8,11,471.67457545443875
9,12,472.73281181315934
10,13,470.7572344611673
11,14,663.2919166350304
12,15,3824.2174603006115
13,16,475.2959824193774
14,17,470.10359211407047
15,18,471.0002621701916
16,19,471.66326404776413
17,20,465.43340221512346
18,21,476.55580705023175
19,22,474.01192495829
20,23,471.915227865624
21,24,473.5914568108366
22,25,471.9919452325767
23,26,476.0727454768422
24,27,478.00443355628596
25,28,475.6953077389456
26,29,468.8688005608366
27,30,472.0853051383172
28,31,472.7650404830113
29,32,467.0138876834489
30,33,470.42343202088495
31,34,478.64783448514424
32,35,472.69966027925693
33,36,478.038066424982
34,37,463.9551553945712
35,38,464.08259672277114
36,39,481.575394964584
37,40,470.1342862414582
38,41,461.0721871846777
39,42,462.6149864879715
40,43,475.62299239604977
41,44,471.694530204129
42,45,476.0124766942485
43,46,477.0735983299782
44,47,475.58488600943093
45,48,466.1354941443714
46,49,466.0419202253337
47,50,473.04387912603903
48,51,477.52812245556765
49,52,463.7005083713385
50,53,475.1142266705213
51,54,476.1874571505105
52,55,473.28306919107655
53,56,463.3987097386509
54,57,474.9088065301061
55,58,480.8102345186121
56,59,469.20212939328246
57,60,474.70535629545634
58,61,480.13997616975206
59,62,471.2609687668588
60,63,465.9151297566836
61,64,475.46691316960715
62,65,467.83526946943437
63,66,471.92129430746485
64,67,470.9676471524836
65,68,468.0554489565018
66,69,471.23054039996606
67,70,459.24625851370183
68,71,470.2674306884141
69,72,468.6590238995564
70,73,470.738714193749
71,74,479.39010495237073
72,75,28635650.611370273
73,76,673.6554718407829
74,77,59425.159066749045
75,78,475.5541911795926
76,79,15615.678207982837
77,80,488.86011905133574
78,81,471.73452056338414
79,82,470.2647122044088
80,83,473.76202447213177
81,84,16159.874788172105
82,85,473.84393201276777
83,86,475.2386884372253
84,87,467.54884716921754
85,88,468.7808449201267
86,89,473.48342341352304
87,90,476.4705788692855
88,91,470.2022034628007
89,92,469.17454891741426
90,93,479.03319133943916
91,94,470.8034934899996
92,95,466.7314471857017
93,96,474.9962013810492
94,97,468.33381352339256
95,98,475.65714913682865
96,99,468.89631461609355
97,100,475.94381190931705
98,101,475.66795852544055
99,102,472.8734480523697
100,103,463.1555771303299
