,_step,train_ppl
0,4,34386.98804921325
1,5,34352.51273577615
2,6,34318.078330672404
3,7,34283.672932536094
4,8,34249.30402815807
5,9,34214.96998508949
6,10,34180.67439059086
7,11,34146.404492745045
8,12,34112.1703329688
9,13,34077.97933994414
10,14,34043.81802045869
11,15,34009.68535411608
12,16,33975.59036683414
13,17,33941.533639802416
14,18,33907.50472974416
15,19,33873.50899675633
16,20,33839.54903013738
17,21,33805.62213407534
18,22,33771.72532737073
19,23,33737.86302653402
20,24,33704.037768681694
21,25,33670.24329364572
22,26,33636.48193407554
23,27,33602.75490841491
24,28,33569.062293109535
25,29,33535.401895386196
26,30,33501.76877705562
27,31,33468.17044715064
28,32,33434.60770212767
29,33,33401.070726660175
30,34,33367.57416125727
31,35,33334.11003380345
32,36,33300.68012226449
33,37,33267.271006588475
34,38,33233.90229681631
35,39,33200.56495203563
36,40,33167.25768105888
37,41,33133.98051179606
38,42,33100.73433870507
39,43,33067.51596481702
40,44,33034.33555646772
41,45,33001.18545398712
42,46,32968.06265392488
43,47,32934.97336822531
44,48,32901.91750790209
45,49,32868.89237436062
46,50,32835.89797622632
47,51,32802.933368157974
48,52,32769.994479791785
49,53,32737.094493234817
50,54,32704.221787345283
51,55,32671.381426751494
52,56,32638.57505715283
53,57,32605.791603273487
54,58,32573.039724736744
55,59,32540.324514448857
56,60,32507.630944436365
57,61,32474.967199217794
58,62,32442.338157539714
59,63,32409.740374797722
60,64,32377.16783700105
61,65,32344.63145526073
62,66,32312.128662259704
63,67,32279.65067289715
64,68,32247.202875169623
65,69,32214.775922344295
66,70,32182.384227567854
67,71,32150.02666392493
68,72,32117.69818081389
69,73,32085.394845852537
70,74,32053.117857875066
71,75,32020.87146056576
72,76,31988.656653390688
73,77,31956.463743184613
74,78,31924.304537595
75,79,31892.174062208323
76,80,31860.075489051
77,81,31828.0006964564
78,82,31795.957735787688
79,83,31763.942043146788
80,84,31731.953500053758
81,85,31699.994245170168
82,86,31668.06564403376
83,87,31636.162612538814
84,88,31604.285708076826
85,89,31572.43818642345
86,90,31540.619938687043
87,91,31508.827355371828
88,92,31477.067989639952
89,93,31445.332550743533
90,94,31413.621697366616
91,95,31381.94008227198
92,96,31350.290771804597
93,97,31318.666160693312
94,98,31287.065878345533
95,99,31255.493588355308
96,100,31223.94590869946
97,101,31192.42865961145
98,102,31160.93440323179
99,103,31129.468845480522
