,_step,train_ppl
0,4,34418.44765432867
1,5,34415.40889538899
2,6,34412.36824454734
3,7,34409.32713631842
4,8,34406.286380296166
5,9,34403.24537419515
6,10,34400.20764076883
7,11,34397.16663112422
8,12,34394.12716080698
9,13,34391.09005661525
10,14,34388.05105290074
11,15,34385.015201723814
12,16,34381.976708695605
13,17,34378.94043127406
14,18,34375.90416279741
15,19,34372.86581993496
16,20,34369.83217516339
17,21,34366.79477774626
18,22,34363.75837784454
19,23,34360.722057433966
20,24,34357.687784531576
21,25,34354.6556068338
22,26,34351.61616849204
23,27,34348.58340236586
24,28,34345.54864661913
25,29,34342.51798786033
26,30,34339.482806607164
27,31,34336.449566363975
28,32,34333.41509702536
29,33,34330.38241883422
30,34,34327.351303639036
31,35,34324.31996856107
32,36,34321.289357541355
33,37,34318.254775744965
34,38,34315.22572714589
35,39,34312.19416427956
36,40,34309.16336956205
37,41,34306.13113617981
38,42,34303.103333089646
39,43,34300.07222269401
40,44,34297.04188028512
41,45,34294.01359054784
42,46,34290.98642701969
43,47,34287.95471289767
44,48,34284.92892583064
45,49,34281.89929914518
46,50,34278.86999226838
47,51,34275.845659993596
48,52,34272.81790065859
49,53,34269.79082040075
50,54,34266.76410864739
51,55,34263.73916220526
52,56,34260.71337441854
53,57,34257.688261305186
54,58,34254.6628066516
55,59,34251.64029480354
56,60,34248.61593877542
57,61,34245.590444667694
58,62,34242.56791475015
59,63,34239.54298994164
60,64,34236.518568475796
61,65,34233.49800776865
62,66,34230.47366510017
63,67,34227.45012376051
64,68,34224.42861280891
65,69,34221.40584144454
66,70,34218.38320605672
67,71,34215.36170357447
68,72,34212.34024093125
69,73,34209.315807943705
70,74,34206.29816305576
71,75,34203.27749179238
72,76,34200.2576819651
73,77,34197.23503865571
74,78,34194.21499685359
75,79,34191.19813346079
76,80,34188.1789005506
77,81,34185.15857056916
78,82,34182.14018564708
79,83,34179.123386725994
80,84,34176.10453391373
81,85,34173.08628429587
82,86,34170.06834017871
83,87,34167.04852678291
84,88,34164.031111887525
85,89,34161.013696916896
86,90,34157.997282155855
87,91,34154.9814960735
88,92,34151.96649624472
89,93,34148.948448281364
90,94,34145.9337495042
91,95,34142.9199365014
92,96,34139.90497973821
93,97,34136.88947315105
94,98,34133.87651528023
95,99,34130.86006594898
96,100,34127.84771005523
97,101,34124.83284960734
98,102,34121.82355153682
99,103,34118.809201328106
