,_step,train_ppl
0,4,10867.903220295015
1,5,10865.226004782655
2,6,10862.548718354845
3,7,10859.873734684454
4,8,10857.198637619504
5,9,10854.521827381071
6,10,10851.847775004318
7,11,10849.174009503507
8,12,10846.500727572655
9,13,10843.828784382302
10,14,10841.156405923073
11,15,10838.486466075768
12,16,10835.814948798004
13,17,10833.145827183995
14,18,10830.475717323618
15,19,10827.80613261964
16,20,10825.137793808688
17,21,10822.469972564302
18,22,10819.80322870062
19,23,10817.137449514154
20,24,10814.472970515813
21,25,10811.806834029068
22,26,10809.142347133959
23,27,10806.478244385822
24,28,10803.816027726878
25,29,10801.154096674123
26,30,10798.490740992991
27,31,10795.82967540497
28,32,10793.168358382482
29,33,10790.507243922588
30,34,10787.849094250654
31,35,10785.190330251093
32,36,10782.531587114578
33,37,10779.873910682161
34,38,10777.21720282533
35,39,10774.560334644413
36,40,10771.904128525093
37,41,10769.248208081593
38,42,10766.594118936986
39,43,10763.940099346108
40,44,10761.286733984385
41,45,10758.633841831293
42,46,10755.980748335709
43,47,10753.329157162592
44,48,10750.678317088708
45,49,10748.027810761821
46,50,10745.377054716915
47,51,10742.72727198356
48,52,10740.078684322014
49,53,10737.428805730913
50,54,10734.781704848885
51,55,10732.133542625941
52,56,10729.486755155105
53,57,10726.839718817937
54,58,10724.195270015027
55,59,10721.549580661474
56,60,10718.90428075857
57,61,10716.260035335765
58,62,10713.618374806334
59,63,10710.974533072538
60,64,10708.33264535334
61,65,10705.691457769453
62,66,10703.050651741547
63,67,10700.410766950226
64,68,10697.770724018194
65,69,10695.131961718065
66,70,10692.49299299643
67,71,10689.855083268476
68,72,10687.217686077514
69,73,10684.580276554456
70,74,10681.943952792066
71,75,10679.30756842838
72,76,10676.67300137384
73,77,10674.037379609164
74,78,10671.403615867006
75,79,10668.770322643817
76,80,10666.13732761177
77,81,10663.50507201876
78,82,10660.874086285137
79,83,10658.241647921894
80,84,10655.611740411867
81,85,10652.98212366171
82,86,10650.352260659389
83,87,10647.722640647462
84,88,10645.09613396699
85,89,10642.468128297054
86,90,10639.84157629587
87,91,10637.215940752723
88,92,10634.589165407546
89,93,10631.963444356566
90,94,10629.339038187913
91,95,10626.715588964547
92,96,10624.091358459586
93,97,10621.46880616899
94,98,10618.844807255635
95,99,10616.223639306556
96,100,10613.600620472502
97,101,10610.979319987391
98,102,10608.360182730854
99,103,10605.73924397072
