,_step,train_ppl
0,4,33867.53897971219
1,5,33835.04839848549
2,6,33802.588113601996
3,7,33770.157497633205
4,8,33737.75973424117
5,9,33705.391147959104
6,10,33673.05922584904
7,11,33640.74898043724
8,12,33608.46829380575
9,13,33576.22016257962
10,14,33544.0038966688
11,15,33511.81839622833
12,16,33479.661359155274
13,17,33447.53410974626
14,18,33415.43792124553
15,19,33383.369603423445
16,20,33351.33398899875
17,21,33319.323983331524
18,22,33287.34842415457
19,23,33255.39980929137
20,24,33223.47952209073
21,25,33191.59580617828
22,26,33159.73745237132
23,27,33127.9057127064
24,28,33096.100082744706
25,29,33064.328112896554
26,30,33032.585528883166
27,31,33000.87305978021
28,32,32969.187065206985
29,33,32937.52591409845
30,34,32905.89838664172
31,35,32874.29607548075
32,36,32842.72515223358
33,37,32811.17914491432
34,38,32779.66029022464
35,39,32748.174937233853
36,40,32716.71756325636
37,41,32685.28178984974
38,42,32653.877849433924
39,43,32622.50025312479
40,44,32591.152887067554
41,45,32559.833087258092
42,46,32528.545028164044
43,47,32497.288509926955
44,48,32466.05321730589
45,49,32434.842601875287
46,50,32403.660908727048
47,51,32372.507259735125
48,52,32341.3780835551
49,53,32310.276370833075
50,54,32279.205888344535
51,55,32248.1597426422
52,56,32217.144997456853
53,57,32186.15415489852
54,58,32155.193382918034
55,59,32124.25892596629
56,60,32093.345173621066
57,61,32062.46132567815
58,62,32031.611772384527
59,63,32000.782126926446
60,64,31969.982407445386
61,65,31939.20544695019
62,66,31908.455687615762
63,67,31877.73672720481
64,68,31847.036692402075
65,69,31816.369453597705
66,70,31785.73012034207
67,71,31755.10967175234
68,72,31724.520960055615
69,73,31693.95639694647
70,74,31663.41896935756
71,75,31632.910556263952
72,76,31602.420107849674
73,77,31571.957042806844
74,78,31541.522483454944
75,79,31511.11099743861
76,80,31480.726860877512
77,81,31450.369122902004
78,82,31420.031741002284
79,83,31389.724859459413
80,84,31359.437323445527
81,85,31329.185216306272
82,86,31298.952933042972
83,87,31268.749571355653
84,88,31238.56995219625
85,89,31208.41341644728
86,90,31178.283835960072
87,91,31148.173148360973
88,92,31118.091743206227
89,93,31088.03269976175
90,94,31057.999376723743
91,95,31027.98754643148
92,96,30998.000797241897
93,97,30968.0441688268
94,98,30938.110612821645
95,99,30908.19692072338
96,100,30878.306672477655
97,101,30848.44553109665
98,102,30818.60956732718
99,103,30788.799881503935
