,_step,training_loss
0,3,9.320389443649484
1,4,1340.449027028
2,5,1239.0946376867462
3,6,1059.050502844024
4,7,1154.3256910892956
5,8,1071.7313933790776
6,9,1333.3802318907622
7,10,1155.692148309005
8,11,986.0412801106771
9,12,1214.5737588447437
10,13,1015.3831626490543
11,14,961.1343592593545
12,15,986.3378550211588
13,16,1073.7892600611638
14,17,983.5072602389151
15,18,1088.8845937628496
16,19,1056.3455663312945
17,20,832.061448482045
18,21,1156.7264795136034
19,22,1197.5433946576036
20,23,1044.1494204872533
21,24,912.5174017119826
22,25,1031.30338220429
23,26,1035.0708926016823
24,27,845.1778446665982
25,28,1246.4844713712994
26,29,1172.354373061866
27,30,1036.8662714372601
28,31,998.8435444078947
29,32,811.7714474326685
30,33,1078.8591985869825
31,34,1222.697668778269
32,35,982.1691824929756
33,36,1017.7593806751987
34,37,1239.8690295303077
35,38,1063.2454831307396
36,39,1096.0083792167798
37,40,1140.5108979877673
38,41,1084.2506630880791
39,42,1255.048663758395
40,43,1026.1701092636376
41,44,1188.8813315943669
42,45,840.8298034667969
43,46,1162.2873805531285
44,47,1098.202307717842
45,48,1045.4664617170367
46,49,1119.3715343809965
47,50,1328.9414381060683
48,51,852.4931453236362
49,52,1092.860296684399
50,53,1198.9835895739104
51,54,1245.7169968454461
52,55,1116.7579554507606
53,56,1257.042444864909
54,57,1212.7398430004455
55,58,1054.0406978674102
56,59,1247.6653766297457
57,60,1165.0791692901075
58,61,1146.2782418769702
59,62,1128.244495057223
60,63,1237.731206793534
61,64,885.4834369860197
62,65,1013.918661017167
63,66,1341.377565618147
64,67,1069.9962361653645
65,68,1326.5966604132402
66,69,1262.4067832545231
67,70,1160.2167709082887
68,71,932.7474035965769
69,72,1203.2095858925268
70,73,1211.1923091955352
71,74,1199.2414615028783
72,75,996.4030483312774
73,76,1086.9794640792043
74,77,986.3793608012952
75,78,1071.6495808383875
76,79,1300.075399833813
77,80,1237.3467519659746
78,81,1397.1341991759184
79,82,1052.2678562632777
80,83,1229.579644721851
81,84,1123.3537412944593
82,85,1367.8034162019428
83,86,1171.4075542249177
84,87,1210.2428069532964
85,88,1097.0637830767714
86,89,1345.8618431760553
87,90,1157.6496555261444
88,91,1158.3174304627535
89,92,1379.9913292600397
90,93,1391.434101840906
91,94,1082.5220759876988
92,95,1252.2726914255243
93,96,859.4130843313117
94,97,1263.8616209866707
95,98,1413.2874124091968
96,99,1382.4231085526317
97,100,1024.6368108381305
98,101,1083.6671046206825
99,102,1056.2135949385793
100,103,1101.429462901333
