,_step,train_ppl
0,4,2073.3562921922476
1,5,1544.3940728283171
2,6,1328.1069453346952
3,7,1189.714751106232
4,8,1091.6418752043955
5,9,1017.762139762544
6,10,959.6547851887588
7,11,912.389910256095
8,12,873.3464900026462
9,13,839.6953854158603
10,14,810.5722546395909
11,15,784.6962534919571
12,16,760.444786606798
13,17,737.7533419234475
14,18,715.8762112500583
15,19,694.3792559403516
16,20,673.9002975184159
17,21,656.79914461759
18,22,640.832906955762
19,23,625.5004931672671
20,24,611.64500740138
21,25,598.4317134357034
22,26,585.8810433101794
23,27,574.0989079997798
24,28,562.5003168070269
25,29,551.760788077393
26,30,541.353289286086
27,31,531.2479048728673
28,32,522.1839602831666
29,33,513.3269536839865
30,34,504.71729201124816
31,35,496.627032407577
32,36,489.01428581202885
33,37,481.5578090257374
34,38,474.3392477412668
35,39,467.44863300523787
36,40,460.8918743845846
37,41,454.4558518124655
38,42,447.7468539408313
39,43,442.2748185362861
40,44,436.5283288373565
41,45,430.9942057618597
42,46,425.6669590901705
43,47,420.22812794240133
44,48,415.6387020257434
45,49,410.59123044838253
46,50,406.0551491513002
47,51,401.550949164803
48,52,396.9694535935855
49,53,392.7202681009282
50,54,388.28975848972794
51,55,384.6374160211918
52,56,380.89146400234375
53,57,376.4438802134416
54,58,372.6141025359432
55,59,368.90150354453516
56,60,365.61941065450065
57,61,361.8530204120228
58,62,358.5852862265977
59,63,354.84139425330784
60,64,352.0199310182048
61,65,348.3679953419375
62,66,345.6481847432332
63,67,342.2629282311703
64,68,339.5680057393912
65,69,336.457616546955
66,70,333.3972965542973
67,71,330.71874829977077
68,72,327.9239126693889
69,73,325.29613228143626
70,74,322.6354710421046
71,75,319.81980796753004
72,76,317.42744550892746
73,77,314.8825624618005
74,78,312.3361185391073
75,79,309.95678523353786
76,80,307.55932524997655
77,81,305.15387358358925
78,82,302.8422018202099
79,83,300.70140965471944
80,84,298.3951679700615
81,85,295.9406278754259
82,86,294.0011996732658
83,87,291.75020156949427
84,88,289.66217005346584
85,89,287.7916952765358
86,90,285.4634158770198
87,91,283.5132134629521
88,92,281.37888472319037
89,93,279.6354504433577
90,94,277.51410484682935
91,95,275.7407327328594
92,96,273.8025512161191
93,97,271.9249528430682
94,98,270.09376724082176
95,99,268.19574931051585
96,100,266.4703761707424
97,101,264.6437014280351
98,102,262.9232055456348
99,103,261.24849719169674
