,_step,train_accuracy
0,4,0.17276667058467865
1,5,0.23749999701976776
2,6,0.2838500142097473
3,7,0.3465833365917206
4,8,0.3968999981880188
5,9,0.45115000009536743
6,10,0.5061333179473877
7,11,0.5540833473205566
8,12,0.5988667011260986
9,13,0.6420333385467529
10,14,0.6820666790008545
11,15,0.7158833146095276
12,16,0.7452166676521301
13,17,0.7700999975204468
14,18,0.7881333231925964
15,19,0.8025000095367432
16,20,0.8137833476066589
17,21,0.82218337059021
18,22,0.8302666544914246
19,23,0.8369500041007996
20,24,0.8435666561126709
21,25,0.8497666716575623
22,26,0.8551166653633118
23,27,0.8603000044822693
24,28,0.8644500374794006
25,29,0.8684000372886658
26,30,0.8722000122070312
27,31,0.8753833174705505
28,32,0.877916693687439
29,33,0.8801833391189575
30,34,0.8825833201408386
31,35,0.8846666812896729
32,36,0.8861500024795532
33,37,0.8879666924476624
34,38,0.8898500204086304
35,39,0.8911833167076111
36,40,0.89246666431427
37,41,0.894016683101654
38,42,0.8952333331108093
39,43,0.8964999914169312
40,44,0.8979166746139526
41,45,0.8993833661079407
42,46,0.9003166556358337
43,47,0.9011499881744385
44,48,0.9021333456039429
45,49,0.9032000303268433
46,50,0.9044166803359985
47,51,0.9055166840553284
48,52,0.9065499901771545
49,53,0.9074000120162964
50,54,0.9083499908447266
51,55,0.909766674041748
52,56,0.9106333255767822
53,57,0.9114333391189575
54,58,0.9123499989509583
55,59,0.9132500290870667
56,60,0.9140666723251343
57,61,0.9149500131607056
58,62,0.9158000349998474
59,63,0.9167667031288147
60,64,0.9173166751861572
61,65,0.917900025844574
62,66,0.9188833236694336
63,67,0.91961669921875
64,68,0.9204000234603882
65,69,0.9212166666984558
66,70,0.9221166968345642
67,71,0.9228000044822693
68,72,0.9234833717346191
69,73,0.9240166544914246
70,74,0.9247333407402039
71,75,0.9254166483879089
72,76,0.9259666800498962
73,77,0.9265833497047424
74,78,0.9272666573524475
75,79,0.9279167056083679
76,80,0.9286666512489319
77,81,0.9292833209037781
78,82,0.9299499988555908
79,83,0.9304500222206116
80,84,0.9310166835784912
81,85,0.9315500259399414
82,86,0.931950032711029
83,87,0.9325166940689087
84,88,0.9331666827201843
85,89,0.9338333606719971
86,90,0.9346333146095276
87,91,0.9350833296775818
88,92,0.9357500076293945
89,93,0.9365666508674622
90,94,0.9368500113487244
91,95,0.937416672706604
92,96,0.9379000067710876
93,97,0.9384999871253967
94,98,0.9390166997909546
95,99,0.939466655254364
96,100,0.9399499893188477
97,101,0.9403833150863647
98,102,0.9407833218574524
99,103,0.94118332862854
