,_step,train_ppl
0,4,503.4732718771514
1,5,667.8759432343987
2,6,728.8036738787837
3,7,722.7691435627924
4,8,721.3390644013001
5,9,719.657119733763
6,10,718.8841522646378
7,11,718.501470857155
8,12,717.884470155436
9,13,716.0227346470245
10,14,715.3468575484795
11,15,714.3511027783196
12,16,714.0629497863542
13,17,714.1092314365452
14,18,711.93948116861
15,19,711.5077708227375
16,20,710.4532610129452
17,21,708.7047233523456
18,22,708.3518411328986
19,23,708.7834285437004
20,24,706.2058664607562
21,25,706.4140992701217
22,26,704.6630055419972
23,27,700.9361984262218
24,28,700.7736631508983
25,29,700.4742168633632
26,30,698.335506777736
27,31,697.117713490423
28,32,696.0862621332677
29,33,694.6897068214109
30,34,693.9060973257716
31,35,694.183555296368
32,36,693.4825370329274
33,37,692.514530050907
34,38,692.5699075047856
35,39,692.2551681036371
36,40,691.8330744060437
37,41,691.6411612691422
38,42,691.578103655749
39,43,691.3604484552637
40,44,690.9848869177116
41,45,690.6640074719546
42,46,690.8976694988801
43,47,690.5150368061013
44,48,690.2670129752082
45,49,690.1549875629992
46,50,689.9963548494532
47,51,689.8130529369145
48,52,689.551304245562
49,53,689.5430698713703
50,54,689.4042409458535
51,55,689.2166669428743
52,56,689.1438269809692
53,57,689.0950711780829
54,58,688.9790600150932
55,59,688.9368442501955
56,60,688.8268705323662
57,61,688.8104408274626
58,62,688.804682057144
59,63,688.6183662314928
60,64,688.600205693419
61,65,688.5462002796244
62,66,688.4802369993223
63,67,688.4247231642609
64,68,688.5819170830449
65,69,688.7102737206276
66,70,688.972928892271
67,71,688.6653282092586
68,72,688.3561555906731
69,73,688.3505470262198
70,74,688.2284643074553
71,75,688.0845403224571
72,76,687.953917427421
73,77,687.8123623013973
74,78,687.7013422875216
75,79,687.6567848751582
76,80,687.6728164586815
77,81,687.601427335399
78,82,687.6159011465965
79,83,687.5695659674165
80,84,687.7094724779759
81,85,687.7256460777418
82,86,687.856350748951
83,87,688.0331991938726
84,88,688.5442354677823
85,89,688.2364883094325
86,90,688.4145770627603
87,91,688.3729961814007
88,92,687.6113240829575
89,93,687.6308199869894
90,94,687.3315144605482
91,95,687.342959279414
92,96,687.2757595737867
93,97,687.0788530632826
94,98,687.0598761767812
95,99,687.051455650472
96,100,686.9833250064181
97,101,686.9770949402258
98,102,686.9538149135093
99,103,687.0162884546813
