,_step,training_loss
0,3,10.453463761874362
1,4,10.45382736426841
2,5,10.453731092226084
3,6,10.453605830733288
4,7,10.453557743264676
5,8,10.453433999677946
6,9,10.453430317861347
7,10,10.453428349183175
8,11,10.4534032459811
9,12,10.453127219107119
10,13,10.453009592119649
11,14,10.45309302277887
12,15,10.453242180304
13,16,10.452909416452226
14,17,10.452730138968809
15,18,10.452779737188374
16,19,10.452705937310942
17,20,10.452594960489712
18,21,10.452476011850699
19,22,10.452504665010867
20,23,10.452490340475102
21,24,10.452259695414945
22,25,10.452290943836731
23,26,10.452240383765577
24,27,10.452041665840762
25,28,10.452060827232762
26,29,10.451845094449778
27,30,10.451958966025202
28,31,10.451777661600552
29,32,10.45181813398486
30,33,10.451542928926687
31,34,10.451444172015911
32,35,10.451575366119352
33,36,10.451567561935638
34,37,10.45131815310332
35,38,10.45121013747662
36,39,10.451151800820043
37,40,10.451040971189705
38,41,10.451136143388982
39,42,10.451060535312338
40,43,10.450884854806326
41,44,10.450705279874649
42,45,10.450942350226072
43,46,10.450606777481456
44,47,10.450680373949254
45,48,10.450329509706487
46,49,10.450387631709681
47,50,10.450364241646033
48,51,10.4504916885147
49,52,10.45029864663863
50,53,10.450162798645412
51,54,10.450039776702914
52,55,10.45020886223927
53,56,10.449934947145714
54,57,10.449835680177612
55,58,10.449574330484241
56,59,10.449832527839359
57,60,10.449580997005025
58,61,10.449457067385364
59,62,10.449463387394259
60,63,10.449358018137124
61,64,10.44940128203757
62,65,10.448981831950261
63,66,10.449076950997274
64,67,10.449023869259948
65,68,10.449183222820777
66,69,10.449109793987049
67,70,10.448813375041672
68,71,10.448750314988507
69,72,10.448736638501526
70,73,10.448747475430896
71,74,10.44849760151625
72,75,10.448512641563292
73,76,10.448436313886734
74,77,10.448459264422025
75,78,10.448253406716825
76,79,10.448040924399356
77,80,10.448198498381423
78,81,10.447960648122708
79,82,10.447892462964482
80,83,10.447931115905828
81,84,10.447840322635566
82,85,10.44747898535202
83,86,10.447649055227462
84,87,10.4475819944441
85,88,10.44755410483668
86,89,10.44756760449016
87,90,10.44732728469538
88,91,10.447138453092094
89,92,10.447065284908904
90,93,10.447373667202834
91,94,10.447014217846903
92,95,10.446993315718181
93,96,10.44692759089659
94,97,10.44694199209428
95,98,10.446695976829734
96,99,10.446630014867262
97,100,10.446601610091722
98,101,10.446476865811363
99,102,10.446370260764038
100,103,10.44627794754339
