,_step,training_loss
0,3,2.30746686738183
1,4,375.63486820243315
2,5,480.4719087808117
3,6,499.5184980445325
4,7,446.1816038932882
5,8,464.6252901447353
6,9,442.4480405372343
7,10,471.1528278993391
8,11,354.4117786757219
9,12,369.9389676417369
10,13,374.5831232457273
11,14,356.6675988463705
12,15,343.38943422882795
13,16,258.28551457126514
14,17,279.22982139018046
15,18,362.8900915605427
16,19,363.4375656550881
17,20,362.0113896286564
18,21,296.18996730389625
19,22,326.16363294394034
20,23,314.1828902515013
21,24,315.97605141190326
22,25,263.64940801103995
23,26,371.0540122741829
24,27,367.77572557006056
25,28,400.26347077782475
26,29,313.5186511204441
27,30,284.9290801416328
28,31,303.67629367202073
29,32,334.3634214258906
30,33,324.32563124536705
31,34,313.0230887764807
32,35,342.40293077416004
33,36,320.002390879812
34,37,300.403004562931
35,38,303.0008206886015
36,39,313.21756991648726
37,40,266.0449256652962
38,41,234.00259464483526
39,42,267.51569732470807
40,43,305.80485407782515
41,44,277.3623522695448
42,45,284.4497577040943
43,46,356.9855955729861
44,47,386.74816068149073
45,48,425.74546752148854
46,49,405.22135235556664
47,50,411.06158879977556
48,51,364.92936529228683
49,52,343.7769272403676
50,53,360.37963995699687
51,54,351.86468177258587
52,55,329.17193418067654
53,56,391.8010322717207
54,57,379.00015922497585
55,58,347.20365094020167
56,59,371.9898576228095
57,60,348.7192000692079
58,61,367.1435136937383
59,62,387.3787076417317
60,63,364.8467219175815
61,64,390.1690984860158
62,65,371.1784264050059
63,66,338.25129201925637
64,67,343.6314717111811
65,68,352.77423313685824
66,69,344.76406704184853
67,70,436.2848386134166
68,71,375.61481656397837
69,72,343.5882148335992
70,73,369.4530039382642
71,74,387.1570009992067
72,75,414.0111092931426
73,76,421.605794552801
74,77,373.1245466610516
75,78,365.51146584126485
76,79,350.1537394249109
77,80,319.0093991375173
78,81,424.44145641855596
79,82,433.9510225405825
80,83,459.6187948784086
81,84,464.40063837698017
82,85,435.4325962025982
83,86,444.8931205440432
84,87,465.8123443538446
85,88,491.51931167309726
86,89,470.7914800257571
87,90,421.25368986150096
88,91,409.4710941599376
89,92,419.1453321086827
90,93,392.5124949961583
91,94,376.8995535226265
92,95,415.60894872994817
93,96,403.11280884569896
94,97,379.196285369808
95,98,444.4666056358484
96,99,387.59162442465583
97,100,395.47839106578056
98,101,414.84446042839653
99,102,413.2226226741571
100,103,382.3869813703525
