,_step,train_ppl
0,4,2.7068597138056416e+36
1,5,3.513181663068039e+45
2,6,4.7179455533037234e+76
3,7,4.979009028276174e+111
4,8,6.129412942439702e+61
5,9,2.3677234197060566e+95
6,10,4.305789683499696e+57
7,11,1.2086605416269716e+128
8,12,1.9782399355604805e+127
9,13,1.109404690785524e+68
10,14,1.081158229490486e+51
11,15,1.33482805057843e+81
12,16,1.0566996482127484e+67
13,17,3.6089919859008354e+106
14,18,8.042774715626614e+61
15,19,1.4114172955887094e+91
16,20,1.080285989039257e+62
17,21,6.000748564725242e+170
18,22,6.63014433207526e+89
19,23,7.879635316585326e+118
20,24,5.684815592241892e+86
21,25,5.71949799044927e+82
22,26,3.3860528746542315e+156
23,27,3.0086593428760994e+134
24,28,7.295906589191723e+93
25,29,3.431972647582783e+107
26,30,4.294047664500009e+112
27,31,1.0818989773928376e+142
28,32,1.3276397779256624e+101
29,33,1.7352491795507237e+121
30,34,7.16026190107085e+118
31,35,5.310552153063018e+134
32,36,1.5268018531085275e+108
33,37,3.837211070737743e+132
34,38,8.43165314588714e+135
35,39,3.5999986742287467e+155
36,40,1.0156594742379514e+79
37,41,6.539441500908342e+96
38,42,7.496479499515816e+155
39,43,1.5828966893320176e+94
40,44,4.276166287190732e+94
41,45,2.5873671309652447e+135
42,46,3.2582299197056484e+152
43,47,1.3144193846184528e+107
44,48,2.53533722738408e+167
45,49,1.632512869299103e+181
46,50,2.7814898538522923e+156
47,51,2.694866259778982e+111
48,52,9.851662392729795e+179
49,53,7.665625502688411e+95
50,54,2.604144705107651e+157
51,55,5.675992860694388e+137
52,56,2.620684450564602e+171
53,57,4.031394885829345e+128
54,58,3.4376085783975933e+120
55,59,3.7549598822722575e+164
56,60,5.86754696488019e+114
57,61,1.6886395883235104e+208
58,62,6.095212052466416e+126
59,63,5.8635098028064725e+171
60,64,4.309782096802604e+115
61,65,5.430976215996414e+205
62,66,2.056385220488446e+193
63,67,1.119934304928002e+157
64,68,8.997197242630673e+147
65,69,1.7548682371068906e+112
66,70,9.21652971839206e+192
67,71,1.7670944472599428e+167
68,72,3.967948758995578e+152
69,73,2.6815938240346416e+266
70,74,3.0406875159255845e+112
71,75,Infinity
72,76,2.581036607680109e+114
73,77,1.5484027658722386e+187
74,78,1.652680310392357e+161
75,79,8.984744941358384e+143
76,80,1.082760970210845e+167
77,81,2.4115230119342193e+124
78,82,1.3484480844836102e+193
79,83,2.9958678535284537e+177
80,84,2.485819557658797e+110
81,85,3.022064579840054e+144
82,86,4.5791349033928795e+132
83,87,6.5610668492624695e+143
84,88,3.317566788570906e+158
85,89,1.8944812101741855e+161
86,90,2.2477540686943911e+232
87,91,8.821309423799202e+177
88,92,1.4086962671303262e+200
89,93,1.2164320633253178e+199
90,94,4.451244568578627e+245
91,95,1.1589528113661128e+242
92,96,1.0033235297310875e+190
93,97,2.480575349131566e+231
94,98,3.4881139369114826e+201
95,99,8.416025897191085e+206
96,100,6.737622453616459e+230
97,101,4.067383397483707e+249
98,102,1.3129454649863623e+260
99,103,7.714277022708785e+133
