,_step,training_loss
0,3,10.446436341370777
1,4,1477.6471814536844
2,5,2567.270499831483
3,6,2934.705815780329
4,7,3095.910613653872
5,8,3274.4299305939344
6,9,3377.0243664380696
7,10,3497.6993904072883
8,11,3633.258859452455
9,12,3784.062974150924
10,13,3939.9644821183347
11,14,3981.18250649995
12,15,4406.012332372471
13,16,4583.685150440866
14,17,4413.675705364918
15,18,4496.174499577137
16,19,4943.748990990086
17,20,4793.453801947264
18,21,4980.7633740914725
19,22,5009.84308508968
20,23,5247.300021352492
21,24,5309.882957990018
22,25,5480.694745193596
23,26,5415.355581269259
24,27,5607.750951965267
25,28,5539.469618230004
26,29,6025.72267561378
27,30,5863.049476288267
28,31,6045.644055267367
29,32,5971.189222853028
30,33,6081.589885094286
31,34,6264.029189589195
32,35,6296.735580264436
33,36,6522.72091664992
34,37,6604.796183137393
35,38,6583.138164753316
36,39,6662.06023234442
37,40,6719.789362900255
38,41,6766.9862140357045
39,42,7078.657761944835
40,43,7239.337664016445
41,44,7260.414780529877
42,45,7417.599599431437
43,46,7227.482499330118
44,47,7261.791499196142
45,48,7718.177114210712
46,49,7674.989343641144
47,50,7617.798491090568
48,51,7773.760778821677
49,52,8093.900759060155
50,53,7975.009833659901
51,54,7792.644386283327
52,55,8266.798172373225
53,56,8255.04044884194
54,57,8335.886866856747
55,58,8267.714170727826
56,59,8237.210189116091
57,60,8832.288436055567
58,61,8635.61364131163
59,62,8691.463749958133
60,63,8832.073164732383
61,64,8861.190836850214
62,65,8728.273687135752
63,66,8881.432066104802
64,67,9261.541507046322
65,68,8854.486554210209
66,69,9114.551915339463
67,70,9403.485817339899
68,71,9086.258778072246
69,72,9375.572879509144
70,73,9532.730189806907
71,74,9746.340486941486
72,75,9914.018538987139
73,76,9454.26541723188
74,77,9643.777207680198
75,78,9933.752605736703
76,79,9705.060018296155
77,80,9914.80504285152
78,81,10078.492710322045
79,82,9995.865962871785
80,83,9984.051666227057
81,84,10246.592135479468
82,85,9955.55870522257
83,86,10454.131276481277
84,87,10050.618675894293
85,88,10784.576214265977
86,89,10394.987268053323
87,90,10209.583123471832
88,91,10940.991406145331
89,92,10499.859876364884
90,93,10782.275793077606
91,94,10796.77923093348
92,95,10904.46661736753
93,96,11170.749175731009
94,97,10919.963263770263
95,98,11474.780349845927
96,99,11328.4362225139
97,100,11252.858004881766
98,101,11215.969177573184
99,102,11317.446395301615
100,103,11790.046829992296
