,_step,train_ppl
0,4,33570.4444398153
1,5,33243.94339128391
2,6,32920.47334508297
3,7,32599.943879445764
4,8,32282.285517302193
5,9,31967.43184351148
6,10,31655.290749123822
7,11,31345.744885235417
8,12,31038.753982303155
9,13,30734.24858772832
10,14,30432.220404663072
11,15,30132.55905364047
12,16,29835.17976608146
13,17,29540.019553662183
14,18,29247.07480180651
15,19,28956.265072539707
16,20,28667.550725186364
17,21,28380.827290898862
18,22,28096.106279806307
19,23,27813.29339007675
20,24,27532.374478479556
21,25,27253.337393134003
22,26,26976.077256586945
23,27,26700.570748818038
24,28,26426.75238561405
25,29,26154.63852301684
26,30,25884.18795622815
27,31,25615.373772635965
28,32,25348.130304672384
29,33,25082.44315531661
30,34,24818.32217023863
31,35,24555.72294582994
32,36,24294.60586265773
33,37,24034.946674872695
34,38,23776.750403139322
35,39,23519.99270572802
36,40,23264.69098255982
37,41,23010.760516279155
38,42,22758.23898334704
39,43,22507.07010639912
40,44,22257.278388521794
41,45,22008.849855916058
42,46,21761.79785008724
43,47,21516.102837736966
44,48,21271.741656107708
45,49,21028.687660415162
46,50,20786.97724419926
47,51,20546.593288332824
48,52,20307.54570965287
49,53,20069.833574892666
50,54,19833.48183899253
51,55,19598.46722980163
52,56,19364.8300227633
53,57,19132.538279080745
54,58,18901.63088603139
55,59,18672.085982076413
56,60,18443.914070998384
57,61,18217.144323326094
58,62,17991.811993417366
59,63,17767.882706980738
60,64,17545.3742694855
61,65,17324.32269291136
62,66,17104.73818451996
63,67,16886.65082811321
64,68,16670.033887190122
65,69,16454.980178929756
66,70,16241.466948589048
67,71,16029.490056038494
68,72,15819.11282300811
69,73,15610.337242288548
70,74,15403.207382537374
71,75,15197.723520283202
72,76,14993.916973882242
73,77,14791.797768063863
74,78,14591.432271135654
75,79,14392.805605732558
76,80,14195.974973671655
77,81,14000.940545827385
78,82,13807.74551053235
79,83,13616.438133765385
80,84,13427.009829712917
81,85,13239.549842809092
82,86,13054.033020481564
83,87,12870.523260874259
84,88,12689.031437135673
85,89,12509.606861149781
86,90,12332.26774765767
87,91,12157.0581835417
88,92,11984.02731726144
89,93,11813.213607147356
90,94,11644.632246598936
91,95,11478.338812589669
92,96,11314.368826210104
93,97,11152.781141171818
94,98,10993.581839933053
95,99,10836.823477684396
96,100,10682.547296139783
97,101,10530.814989287657
98,102,10381.652587781198
99,103,10235.086738029915
