,_step,train_ppl
0,4,6.84884239283505e+30
1,5,9.242546074487446e+22
2,6,3.345925111286306e+29
3,7,7.812085018804856e+30
4,8,2.63954463514941e+27
5,9,1.14344700438193e+61
6,10,1.9357833388103577e+33
7,11,2.6342235406396926e+48
8,12,6.947037269627958e+50
9,13,9.801564759398887e+59
10,14,3.81910574018195e+37
11,15,5.492497743766077e+38
12,16,5.0727082837333014e+39
13,17,1.3607704535172659e+43
14,18,7.874417406881395e+45
15,19,2.5925618890576623e+43
16,20,8.21965105913368e+50
17,21,7.264476558694951e+44
18,22,2.086128072625202e+42
19,23,3.406317587281846e+30
20,24,9.648446136714278e+34
21,25,9.982677346626725e+26
22,26,4.761745015372177e+34
23,27,4.887973412464496e+19
24,28,1.9498278465221794e+37
25,29,6.875463737285293e+32
26,30,5.2956849262324347e+39
27,31,3.5771662134992856e+33
28,32,6.235365227021082e+21
29,33,1.1112212566405813e+34
30,34,7.0168307722261716e+25
31,35,84403826781210.23
32,36,1.9818285079581764e+21
33,37,4.671707709355701e+30
34,38,4.30657916662267e+16
35,39,3155923576464.154
36,40,4.731528538946201e+18
37,41,6.802576746620453e+18
38,42,1.5380273584729243e+25
39,43,41728775672499.89
40,44,2.0012248300502217e+19
41,45,1.4375329397258758e+20
42,46,7.0870090753067565e+28
43,47,1.0837698140893071e+27
44,48,166264973037.9279
45,49,2.8715246349644678e+29
46,50,6.036883724333398e+19
47,51,2.4886696458509503e+27
48,52,1995784217416765.5
49,53,3.3308485073041636e+27
50,54,1.619189563873447e+22
51,55,9.121297004355022e+18
52,56,1.2692845056290602e+29
53,57,1221292755632857.8
54,58,8.261652398112103e+18
55,59,5.412809406909826e+18
56,60,522770384676562.7
57,61,4.559806606253075e+20
58,62,3.19339047843068e+26
59,63,1.4786184983085262e+20
60,64,9.392215213020628e+46
61,65,9.200567351202716e+31
62,66,1.9252416100761772e+16
63,67,220573308180723.06
64,68,5.668967137854172e+37
65,69,87908695602.62714
66,70,2.800234089478439e+23
67,71,4.1675793802279854e+21
68,72,6.365438025608027e+42
69,73,6.801588937620095e+32
70,74,2.154587384906609e+18
71,75,1.5527541527859291e+25
72,76,3.73148395643636e+17
73,77,5.6178056499347025e+22
74,78,1.0046272750175298e+16
75,79,1.5613369599860272e+21
76,80,4.580680694886138e+17
77,81,2.8623621158563898e+17
78,82,1.2943712511134377e+27
79,83,1.2115664616028526e+16
80,84,1.5392885068349437e+22
81,85,50914011603.47747
82,86,12365445575655.303
83,87,1.5760088311364137e+24
84,88,8513783963397542.0
85,89,4.054269562042045e+24
86,90,138505881423732.81
87,91,1.0383493994376572e+32
88,92,137082544351713.4
89,93,3.1625651873626074e+17
90,94,5191897768309197.0
91,95,3.1340567651812e+29
92,96,9.080975709941396e+26
93,97,397622258447532.1
94,98,1.731637743631414e+39
95,99,1.0947999619250098e+25
96,100,377895040475570.8
97,101,3.3099384710516045e+18
98,102,1.461334915269289e+19
99,103,64441639215553.086
