,_step,train_ppl
0,4,27353.682151977482
1,5,21672.069711056938
2,6,17409.840787396945
3,7,14354.143912586076
4,8,12028.194123450794
5,9,10170.2958996495
6,10,8651.822412190313
7,11,7399.190036542158
8,12,6361.097486046515
9,13,5497.496926736838
10,14,4776.6939790604665
11,15,4173.46557866472
12,16,3667.522149045959
13,17,3242.3384679735987
14,18,2884.428049951317
15,19,2582.7884753595345
16,20,2328.395708222214
17,21,2113.812442677472
18,22,1932.9156363488794
19,23,1780.6597056085004
20,24,1652.849481113973
21,25,1546.0655641540452
22,26,1457.4172437103955
23,27,1384.4574934872887
24,28,1324.9980013610575
25,29,1276.9500579114788
26,30,1238.1533583937778
27,31,1206.208648887322
28,32,1178.5672972420662
29,33,1153.1744576889812
30,34,1129.1330211203183
31,35,1106.7004708475645
32,36,1086.1584713325035
33,37,1067.162170130605
34,38,1049.2104997265835
35,39,1031.6855843171509
36,40,1014.0411599376656
37,41,995.954092301493
38,42,977.5826841651638
39,43,959.2688359647875
40,44,941.7414470904448
41,45,925.3760738986385
42,46,910.2171169240994
43,47,895.8087627187351
44,48,882.0474593284947
45,49,868.838599622174
46,50,855.9491534481947
47,51,843.7393426105878
48,52,832.0226720567315
49,53,820.4938108140249
50,54,809.5254350027499
51,55,799.0466781543096
52,56,788.8404335909912
53,57,778.838058741332
54,58,769.3125475169002
55,59,760.2077448142924
56,60,751.2896899981927
57,61,742.7209543711238
58,62,734.6382497941487
59,63,726.567498049024
60,64,718.8638214807817
61,65,711.288966724094
62,66,704.1543924485114
63,67,697.0623752288029
64,68,690.1343361133967
65,69,683.3879380115823
66,70,676.7968902830983
67,71,670.3827348267422
68,72,664.0508835960677
69,73,658.1241207492128
70,74,651.8751149615734
71,75,646.1729258879901
72,76,640.4335838003301
73,77,634.8098596066106
74,78,629.2832347370556
75,79,623.7936669120112
76,80,618.6527039722838
77,81,613.4530513736178
78,82,608.3612354016335
79,83,603.3973496728205
80,84,598.6276789161312
81,85,593.7126852405602
82,86,589.1217296509241
83,87,584.4738757702701
84,88,580.0751637519023
85,89,575.6658772331294
86,90,571.3042201636185
87,91,567.1476087555787
88,92,562.9238297424861
89,93,558.9649383841892
90,94,554.9670112579696
91,95,551.1538259524369
92,96,547.3344860840982
93,97,543.8076931440966
94,98,540.0776415397117
95,99,536.5789019881447
96,100,533.0609559799641
97,101,529.6139494689648
98,102,526.2548818560177
99,103,522.9165898477054
