,_step,train_ppl
0,4,1401.4580393545682
1,5,2902.808979502531
2,6,2099.929511362022
3,7,3419.666359030015
4,8,2197.1848333581065
5,9,2144.1293256738986
6,10,10016.211817129351
7,11,9122.12416551187
8,12,3159.2683077895404
9,13,2304.069287342958
10,14,3.4408754197012034e+30
11,15,16823.394762256063
12,16,12420380.257984689
13,17,4205.632842629065
14,18,8703562.066417236
15,19,194190849322145.03
16,20,10988773.239004359
17,21,5399278.844617266
18,22,100577264425.85014
19,23,5890.349008409662
20,24,62232.68099782077
21,25,1407625.3424514118
22,26,107511099112926.14
23,27,4716.255444100787
24,28,328225497.00152797
25,29,641208312332899.6
26,30,23208.743509441418
27,31,745374721.444348
28,32,589710459687.3773
29,33,1474552.4447361003
30,34,6357.753675131223
31,35,339218.24427413475
32,36,18665.30285329764
33,37,761156.6560131817
34,38,1535284993549851.2
35,39,44587.189133448315
36,40,15007.106443739009
37,41,705172.1156355997
38,42,113022.95043652003
39,43,11051039308991.049
40,44,394720.0952653971
41,45,7410702197822.663
42,46,461575.44640589313
43,47,6548405.19999978
44,48,37723894838.88279
45,49,11808379.052462043
46,50,657801785.1381803
47,51,5687323599033.273
48,52,16348500.907901688
49,53,1.5029210071358214e+16
50,54,599805633055690.4
51,55,79754760.9756326
52,56,143083.49939551819
53,57,1.8905847100061598e+19
54,58,140570402336474.67
55,59,32230861.726592533
56,60,1329680.4198001244
57,61,264123114.17400095
58,62,6213300.946127638
59,63,4008832.298999127
60,64,213645.87006298217
61,65,9.87853250064066e+17
62,66,2512195.5564904884
63,67,2038481689.645028
64,68,8.026288151064399e+37
65,69,925104556421.289
66,70,3931134321547303.0
67,71,1.7217471689284062e+20
68,72,7.060304837049947e+27
69,73,1.3099334232495209e+21
70,74,3.716629299506868e+24
71,75,4.611325060318907e+30
72,76,51555900046.66268
73,77,1.4747027532546046e+26
74,78,2.63782799139159e+32
75,79,6.631842365973518e+21
76,80,3.049178797409528e+20
77,81,107854008950128.89
78,82,257972288417.35742
79,83,9.501309096234705e+17
80,84,1.5910551126543756e+30
81,85,2.884382525154549e+26
82,86,7.149580567382076e+21
83,87,1.211392228638168e+23
84,88,2.713779405310112e+30
85,89,1.0273635743852694e+39
86,90,1.0097861055929976e+21
87,91,9.64200553654091e+25
88,92,1.0283960675017177e+24
89,93,1.1104224572387565e+35
90,94,8.48323195730041e+41
91,95,1.5027927624837566e+33
92,96,8.438532178249275e+37
93,97,1.399944488314059e+27
94,98,5.0791780778596e+39
95,99,1.20368506955153e+35
96,100,4.041984877431342e+28
97,101,1.7218682457525715e+46
98,102,9.72861975305079e+52
99,103,2.241280699837522e+38
