,_step,training_loss
0,3,2.308689195209983
1,4,1340.241869212722
2,5,814.4660559615601
3,6,894.9822739070412
4,7,1158.6205918692322
5,8,1361.9662502915112
6,9,1576.5552973960762
7,10,1450.5078923402311
8,11,1541.0362179233575
9,12,1558.009122738706
10,13,1422.5003167581456
11,14,1439.086975357934
12,15,1425.3501892089844
13,16,1386.2492850818105
14,17,1513.308092975413
15,18,1374.980662982347
16,19,1339.1535274286007
17,20,1352.8676413595042
18,21,1351.877012598489
19,22,1183.3811691056437
20,23,1386.6800130425231
21,24,1470.3037357940348
22,25,1462.3762233059035
23,26,1466.228366355652
24,27,1399.6909403526452
25,28,1263.7379025457255
26,29,1295.3150844289296
27,30,1172.2623517457357
28,31,1544.9841866889742
29,32,1488.558036755397
30,33,1530.760701714294
31,34,1423.567853394856
32,35,1443.2317733927323
33,36,1529.6858426807785
34,37,1519.388981800852
35,38,1616.6177365561284
36,39,1543.7584018991954
37,40,1584.630794565815
38,41,1434.0855883372617
39,42,1461.2796630859375
40,43,1379.3103736600897
41,44,1447.822584985924
42,45,1442.153452273371
43,46,1540.7804653273463
44,47,1483.5851341524103
45,48,1553.6673288569013
46,49,1579.3533987602445
47,50,1658.3871137216402
48,51,1628.788801636523
49,52,1542.7559848289245
50,53,1582.3136340306003
51,54,1396.3486890975855
52,55,1545.4265210897938
53,56,1539.2784233825294
54,57,1545.2808588023888
55,58,1427.9433216347115
56,59,1579.2092430911846
57,60,1591.4432058110674
58,61,1569.844232945554
59,62,1556.1772501931262
60,63,1487.2906702362907
61,64,1453.9082904482193
62,65,1508.5947175829142
63,66,1532.6872748596581
64,67,1567.8139941250083
65,68,1505.292122196287
66,69,1480.823562199119
67,70,1511.7983194770081
68,71,1476.040544522088
69,72,1534.7857905471249
70,73,1514.8503308652053
71,74,1376.5249589541827
72,75,1524.7809107278201
73,76,1514.4214772954424
74,77,1508.191868113048
75,78,1442.844978836808
76,79,1614.593665539837
77,80,1489.6002497886543
78,81,1443.4840908416552
79,82,1513.5793447921526
80,83,1523.9603784231742
81,84,1539.8583821701343
82,85,1463.6948830415445
83,86,1356.354733920555
84,87,1429.8865469666177
85,88,1601.6869159365006
86,89,1559.2827520634828
87,90,1598.848803034215
88,91,1396.5021522375566
89,92,1509.2020815460921
90,93,1558.5595183219991
91,94,1721.7893476343866
92,95,1473.9103516535972
93,96,1590.8858277538438
94,97,1485.8947723323602
95,98,1528.0896762612024
96,99,1483.333676856718
97,100,1355.9464467258088
98,101,1499.6164403724263
99,102,1597.99436114541
100,103,1575.4260454320197
