,_step,train_accuracy
0,4,0.3402400016784668
1,5,0.5327000021934509
2,6,0.6479600071907043
3,7,0.6916199922561646
4,8,0.6843400001525879
5,9,0.769059956073761
6,10,0.8115800023078918
7,11,0.8487199544906616
8,12,0.861519992351532
9,13,0.9008599519729614
10,14,0.926859974861145
11,15,0.9027799963951111
12,16,0.9045799970626831
13,17,0.9567399621009827
14,18,0.9631799459457397
15,19,0.9654799699783325
16,20,0.9717999696731567
17,21,0.9730199575424194
18,22,0.9694399833679199
19,23,0.9820599555969238
20,24,0.9805199503898621
21,25,0.972599983215332
22,26,0.9851199984550476
23,27,0.9861399531364441
24,28,0.9570799469947815
25,29,0.9890599846839905
26,30,0.9902999997138977
27,31,0.9908599853515625
28,32,0.9887399673461914
29,33,0.9888799786567688
30,34,0.9912599921226501
31,35,0.9890599846839905
32,36,0.9940799474716187
33,37,0.9929599761962891
34,38,0.9967999458312988
35,39,0.9972599744796753
36,40,0.9920199513435364
37,41,0.9949999451637268
38,42,0.9948199987411499
39,43,0.8808199763298035
40,44,0.9973399639129639
41,45,0.9933399558067322
42,46,0.9984599947929382
43,47,0.9971399903297424
44,48,0.9961199760437012
45,49,0.9941799640655518
46,50,0.9979199767112732
47,51,0.993399977684021
48,52,0.9975999593734741
49,53,0.9993199706077576
50,54,0.9993199706077576
51,55,0.9967799782752991
52,56,0.9978399872779846
53,57,0.9983799457550049
54,58,0.9989999532699585
55,59,0.9994999766349792
56,60,0.9967999458312988
57,61,0.9990999698638916
58,62,0.9986400008201599
59,63,0.9921599626541138
60,64,0.9989399909973145
61,65,0.998420000076294
62,66,0.9993199706077576
63,67,0.9992799758911133
64,68,0.9997999668121338
65,69,0.999239981174469
66,70,0.9995599985122681
67,71,0.9989999532699585
68,72,0.998420000076294
69,73,0.9973799586296082
70,74,0.9986799955368042
71,75,0.9980199933052063
72,76,0.9993999600410461
73,77,0.9981399774551392
74,78,0.9954800009727478
75,79,0.999459981918335
76,80,0.9968599677085876
77,81,0.9996199607849121
78,82,0.9999199509620667
79,83,0.9996799826622009
80,84,0.9998999834060669
81,85,1.0
82,86,0.9998999834060669
83,87,0.9999199509620667
84,88,0.9997199773788452
85,89,0.9984999895095825
86,90,0.9983399510383606
87,91,0.9988799691200256
88,92,0.9991999864578247
89,93,0.9992199540138245
90,94,0.9994799494743347
91,95,0.9998599886894226
92,96,0.9995799660682678
93,97,0.9990999698638916
94,98,0.9996399879455566
95,99,0.9991999864578247
96,100,0.999779999256134
97,101,0.9999399781227112
98,102,0.9996799826622009
99,103,0.9996999502182007
