,_step,train_ppl
0,4,33897.159432013425
1,5,33894.261324451305
2,6,33891.35705151204
3,7,33888.45755537341
4,8,33885.55786959097
5,9,33882.65857054909
6,10,33879.75882649868
7,11,33876.86078595099
8,12,33873.9612391243
9,13,33871.06598997203
10,14,33868.16537132897
11,15,33865.27043149563
12,16,33862.37328391005
13,17,33859.47553120947
14,18,33856.578901140674
15,19,33853.680129599496
16,20,33850.78383505847
17,21,33847.890211792335
18,22,33844.995775569376
19,23,33842.09693554773
20,24,33839.200303861566
21,25,33836.307683630526
22,26,33833.41243437488
23,27,33830.518695387815
24,28,33827.62224604934
25,29,33824.728911349295
26,30,33821.83620960384
27,31,33818.94109564022
28,32,33816.04951146689
29,33,33813.1563671785
30,34,33810.262826186656
31,35,33807.36905758259
32,36,33804.47742948695
33,37,33801.58374115946
34,38,33798.69278964062
35,39,33795.801324881075
36,40,33792.90973122039
37,41,33790.01849754009
38,42,33787.12802961272
39,43,33784.235342620814
40,44,33781.34669525153
41,45,33778.45650714214
42,46,33775.56482610947
43,47,33772.67641475978
44,48,33769.78702864328
45,49,33766.897933144886
46,50,33764.00737087129
47,51,33761.11914969557
48,52,33758.231028585156
49,53,33755.34165707395
50,54,33752.4539009866
51,55,33749.56564531272
52,56,33746.677636791814
53,57,33743.788943504005
54,58,33740.90537252718
55,59,33738.016759235004
56,60,33735.13036007862
57,61,33732.2448979225
58,62,33729.35792306772
59,63,33726.47225583279
60,64,33723.58683153485
61,65,33720.701071687865
62,66,33717.81470149996
63,67,33714.93250476712
64,68,33712.04655051621
65,69,33709.16278694951
66,70,33706.277934348625
67,71,33703.39218214688
68,72,33700.50931843303
69,73,33697.62307335279
70,74,33694.73945351928
71,75,33691.85737325109
72,76,33688.97238997633
73,77,33686.09035506929
74,78,33683.20779103521
75,79,33680.32487522272
76,80,33677.442391185636
77,81,33674.55928880648
78,82,33671.67712600405
79,83,33668.79764219347
80,84,33665.91394970596
81,85,33663.03389134479
82,86,33660.15197918484
83,87,33657.272689160076
84,88,33654.389583476914
85,89,33651.51134594471
86,90,33648.634158953864
87,91,33645.751212140036
88,92,33642.8718335369
89,93,33639.99247326904
90,94,33637.11427560771
91,95,33634.23514566284
92,96,33631.35534220573
93,97,33628.47784028534
94,98,33625.60114371049
95,99,33622.72311516544
96,100,33619.84414705752
97,101,33616.966026710295
98,102,33614.09160864555
99,103,33611.21457404653
