,_step,training_loss
0,3,7.239586822821966
1,4,2.8720921567638817
2,5,1.8677129437551474
3,6,1.6875612903433992
4,7,1.5731654109247506
5,8,1.4799990577770925
6,9,1.400478948717532
7,10,1.3344041090792098
8,11,1.26693570705326
9,12,1.210572503869186
10,13,1.1461516983063935
11,14,1.0887336692846645
12,15,1.0340973902541353
13,16,0.9672227771690739
14,17,0.9125854821156358
15,18,0.8558768384596881
16,19,0.795143542234855
17,20,0.7344509925683746
18,21,0.6727192786038684
19,22,0.6153747635271848
20,23,0.555636175605647
21,24,0.5020132836173562
22,25,0.4588528011765931
23,26,0.4044411577989378
24,27,0.3429100897229846
25,28,0.30680752776163006
26,29,0.26705875988963923
27,30,0.23105474193687633
28,31,0.20858352194966562
29,32,0.1835963620668482
30,33,0.1680883616018478
31,34,0.1390467469611436
32,35,0.12217566895934627
33,36,0.11318109150204207
34,37,0.10846624676795567
35,38,0.09059644090321363
36,39,0.09211685874825701
37,40,0.08237427663143791
38,41,0.07830876224409894
39,42,0.07044958173180632
40,43,0.06572927629379817
41,44,0.0607139245509301
42,45,0.056256804222245806
43,46,0.05028580801080331
44,47,0.04526626929888487
45,48,0.04434783019773338
46,49,0.04031953429493605
47,50,0.040040075655102425
48,51,0.036967262629267125
49,52,0.04110598710039273
50,53,0.03831774547643712
51,54,0.03656620647081786
52,55,0.03419641423327348
53,56,0.035717100225379474
54,57,0.03469273485564877
55,58,0.03552477280287753
56,59,0.033156990902522186
57,60,0.03270109323308329
58,61,0.029687339275637093
59,62,0.030867798140753643
60,63,0.029055233614857467
61,64,0.025024297714466823
62,65,0.02397607203842143
63,66,0.022583241556601984
64,67,0.025840058968023723
65,68,0.020746981338038088
66,69,0.02167245813066621
67,70,0.021492399498605933
68,71,0.021182427690733616
69,72,0.02187204288254442
70,73,0.021500888115028514
71,74,0.018485703307282553
72,75,0.01973019646423514
73,76,0.020668195189593737
74,77,0.017195871942426503
75,78,0.0174375717490054
76,79,0.0192189952299056
77,80,0.017911394593565513
78,81,0.01848848177062924
79,82,0.017503424699161
80,83,0.019573906458595105
81,84,0.01635886288826804
82,85,0.01764134781034973
83,86,0.019246793985652648
84,87,0.014935475388539435
85,88,0.01787601620562689
86,89,0.014540020456535222
87,90,0.01439108372823147
88,91,0.015461170099987685
89,92,0.013265217299504048
90,93,0.014111864371308604
91,94,0.017015846431120762
92,95,0.014876507289792219
93,96,0.012686131561956252
94,97,0.014757476638808437
95,98,0.01746105895135933
96,99,0.013161429432411309
97,100,0.012904605519471934
98,101,0.01353797937452774
99,102,0.010155978690608955
100,103,0.010284322157503365
