,_step,training_loss
0,3,9.320389443649484
1,4,9.155946614449483
2,5,8.801344913348817
3,6,8.475254368363766
4,7,8.23097192195424
5,8,8.066423775856954
6,9,7.950882242436995
7,10,7.86177592946772
8,11,7.7860775663141615
9,12,7.717622188099644
10,13,7.652804211566322
11,14,7.5901425303074355
12,15,7.529376619740536
13,16,7.470026409416868
14,17,7.4129287360007305
15,18,7.357915330351445
16,19,7.303965321758337
17,20,7.252572741424828
18,21,7.202595054057607
19,22,7.154209471585458
20,23,7.1077660803209275
21,24,7.062702588867723
22,25,7.019005825645046
23,26,6.97644903785304
24,27,6.935433776755082
25,28,6.896150095420971
26,29,6.857833410564222
27,30,6.82123299230609
28,31,6.786403145706444
29,32,6.752288533930193
30,33,6.720007565983555
31,34,6.688988196222406
32,35,6.659126967714544
33,36,6.6302588446098465
34,37,6.602731432831078
35,38,6.575731963442083
36,39,6.550589979740611
37,40,6.5260224802452225
38,41,6.502345189713595
39,42,6.479001522064209
40,43,6.457084350418627
41,44,6.434880821328414
42,45,6.414471550991661
43,46,6.394090510251229
44,47,6.374437164842036
45,48,6.355138452429521
46,49,6.336946466512847
47,50,6.318759353537309
48,51,6.300281420088651
49,52,6.283110844461541
50,53,6.26560910542806
51,54,6.248488547509177
52,55,6.232426689382185
53,56,6.216011900650828
54,57,6.200315011175055
55,58,6.1855067412058515
56,59,6.170729909026832
57,60,6.156744463401928
58,61,6.143126374796817
59,62,6.130539057547586
60,63,6.1176822269172
61,64,6.10565289698149
62,65,6.094033768302516
63,66,6.082542457078633
64,67,6.071688380157738
65,68,6.061192621264541
66,69,6.050718236387822
67,70,6.040885921110187
68,71,6.03088865363807
69,72,6.020969194278383
70,73,6.011766889639068
71,74,6.002317993264449
72,75,5.992883155220433
73,76,5.984485145200763
74,77,5.975628505673325
75,78,5.967116916388796
76,79,5.958217173291926
77,80,5.950188021910818
78,81,5.94197005974619
79,82,5.933556560884442
80,83,5.925478019212422
81,84,5.918321806087828
82,85,5.910113200806735
83,86,5.9029364251253895
84,87,5.895023048969737
85,88,5.887334522448088
86,89,5.880104784379926
87,90,5.8735227166560655
88,91,5.866029065951967
89,92,5.859394667441385
90,93,5.851770739806326
91,94,5.844709400545087
92,95,5.838450808274119
93,96,5.831999448307774
94,97,5.824998382936444
95,98,5.818468487053587
96,99,5.811588492309838
97,100,5.805899377454791
98,101,5.799348705693295
99,102,5.7930508496468525
100,103,5.787624685387862
