,_step,train_ppl
0,4,1312.7879934117605
1,5,1365.4084315036664
2,6,1483.2332968005633
3,7,1483.8508646171056
4,8,1536.7413407747952
5,9,1480.1144605705394
6,10,1500.3957243931093
7,11,1528.7620433324219
8,12,1554.2885155392644
9,13,1538.0598532005627
10,14,1588.1389228818605
11,15,1577.1955484033701
12,16,1598.671080895356
13,17,1588.7634960117362
14,18,1578.8814696994448
15,19,1573.11999146822
16,20,1590.9427177010077
17,21,1632.5511819944445
18,22,1682.812658087758
19,23,1670.708571429935
20,24,1611.0485812850302
21,25,1617.8627796602125
22,26,1635.8813447185858
23,27,1644.6681909816498
24,28,1683.1587231805306
25,29,1707.5915779906306
26,30,1698.9619680773815
27,31,1716.834323894242
28,32,1784.4962437313256
29,33,1752.6043869798668
30,34,1711.6690109726517
31,35,1687.9504562471056
32,36,1679.9820438115614
33,37,1659.8739865355572
34,38,1661.045045583675
35,39,1687.6413072704927
36,40,1703.2839568887505
37,41,1724.1037530095332
38,42,1706.0023440635102
39,43,1706.515425535165
40,44,1767.583748593855
41,45,1761.647551925901
42,46,1761.0556028200165
43,47,1715.5607177144816
44,48,1704.8873157996456
45,49,1730.7495535673256
46,50,1748.617647549462
47,51,1770.6207460995943
48,52,1787.713053910446
49,53,1771.5954153303553
50,54,1784.737345397313
51,55,1760.7917575016024
52,56,1778.1213559227056
53,57,1765.2223678487157
54,58,1786.1436409830167
55,59,1788.6002831332726
56,60,1789.0243277424236
57,61,1799.0753800703333
58,62,1783.5302287307072
59,63,1805.312065968068
60,64,1802.0429368584641
61,65,1818.4689434603595
62,66,1804.3620698962359
63,67,1753.7469780890524
64,68,1719.4614136439536
65,69,1726.1129622644717
66,70,1728.7936664298086
67,71,1717.636717262758
68,72,1727.7147252319724
69,73,1690.8486104957567
70,74,1704.3676867048275
71,75,1739.1436702285907
72,76,1768.261214914623
73,77,1732.6722993179883
74,78,1737.6262170049838
75,79,1760.494762354433
76,80,1769.6229839844698
77,81,1740.05476915312
78,82,1716.551675732308
79,83,1689.92649818077
80,84,1695.6522375960867
81,85,1718.8500384420834
82,86,1714.5912084545118
83,87,1729.9929834056509
84,88,1754.415288743762
85,89,1728.933601837668
86,90,1729.582655693206
87,91,1704.2701287590387
88,92,1677.7562213902208
89,93,1678.1585927936346
90,94,1719.6359017846141
91,95,1709.1517387663573
92,96,1720.582488267031
93,97,1726.6931105095555
94,98,1747.8152813923966
95,99,1749.4900420329732
96,100,1753.0788184481348
97,101,1780.4308836425232
98,102,1760.2143886561603
99,103,1746.608451917086
