,_step,training_loss
0,3,2.3080393322495256
1,4,0.3445820881407271
2,5,0.09604779321319068
3,6,0.0629724647734624
4,7,0.048890933698253716
5,8,0.037969620806028025
6,9,0.031274139309482675
7,10,0.026438902063704313
8,11,0.02359823594917295
9,12,0.019401635048039226
10,13,0.017166446542554992
11,14,0.014587636585153742
12,15,0.01306078738170807
13,16,0.010139867785321707
14,17,0.011182851820396307
15,18,0.010793123178609481
16,19,0.0086365907703641
17,20,0.005937024101633321
18,21,0.007935886340008413
19,22,0.008895801454649688
20,23,0.006942860464021109
21,24,0.0037910277965286974
22,25,0.0061054829636240935
23,26,0.007035186144650598
24,27,0.004716387092344848
25,28,0.0032740269084541086
26,29,0.002088913652214479
27,30,0.009384780922615249
28,31,0.008281383949257102
29,32,0.005645439108108371
30,33,0.001965150086128646
31,34,0.0015734785757269768
32,35,0.010115466481854102
33,36,0.005387271343871751
34,37,0.0034121925770854594
35,38,0.001430204499198121
36,39,0.001478720557205147
37,40,0.005924297079879651
38,41,0.007042555938451749
39,42,0.003247285974784371
40,43,0.001821839918683914
41,44,0.0019293762665787855
42,45,0.006101685603875621
43,46,0.00629566519610443
44,47,0.0020805547383424554
45,48,0.0014881873952557636
46,49,0.0011725160191355616
47,50,0.0007377899563037924
48,51,0.008511691850554911
49,52,0.006101503154413664
50,53,0.0009230992155474158
51,54,0.0002479396674120864
52,55,9.482560976003776e-05
53,56,7.242293827936331e-05
54,57,5.859356892840894e-05
55,58,4.836472133199826e-05
56,59,4.0416409836534766e-05
57,60,3.368444461083234e-05
58,61,2.8280597545942767e-05
59,62,2.3654762594124127e-05
60,63,1.9567853105390293e-05
61,64,1.647711590193096e-05
62,65,1.345685868747134e-05
63,66,1.1252037413894748e-05
64,67,9.194613166575653e-06
65,68,7.530576987138086e-06
66,69,6.217541436393491e-06
67,70,5.047745371645977e-06
68,71,4.053802614611305e-06
69,72,3.3296803452957685e-06
70,73,2.667788948337863e-06
71,74,2.1409239511905285e-06
72,75,1.6817124508843587e-06
73,76,1.3619592261847493e-06
74,77,1.083925919884042e-06
75,78,8.63336833486795e-07
76,79,6.832187033322938e-07
77,80,5.370317249490637e-07
78,81,4.2632297469372677e-07
79,82,3.3697061167937244e-07
80,83,2.655190361669283e-07
81,84,2.1083002357996922e-07
82,85,1.671196143234026e-07
83,86,1.3298962976489135e-07
84,87,1.0301414327580114e-07
85,88,8.213146168947814e-08
86,89,6.504542107526883e-08
87,90,5.130866195629986e-08
88,91,4.107539467749134e-08
89,92,3.2215634022328925e-08
90,93,2.5195985626250016e-08
91,94,1.997211846627511e-08
92,95,1.6107168814789897e-08
93,96,1.2737996723508918e-08
94,97,9.962566032386265e-09
95,98,7.982100330386103e-09
96,99,6.523889772633964e-09
97,100,5.221230193636652e-09
98,101,4.288584033383021e-09
99,102,3.5088416084079048e-09
100,103,2.917746495608452e-09
