,_step,train_accuracy
0,4,0.00354
1,5,0.05356
2,6,0.1588
3,7,0.21884
4,8,0.25836
5,9,0.28596
6,10,0.30878
7,11,0.32556
8,12,0.3421
9,13,0.35612
10,14,0.36694
11,15,0.37998
12,16,0.39122
13,17,0.40052
14,18,0.41248
15,19,0.42532
16,20,0.43402
17,21,0.4467
18,22,0.45568
19,23,0.4654
20,24,0.47282
21,25,0.4845
22,26,0.49384
23,27,0.5026
24,28,0.51064
25,29,0.51982
26,30,0.5296
27,31,0.53786
28,32,0.54364
29,33,0.55562
30,34,0.56176
31,35,0.571
32,36,0.57992
33,37,0.58996
34,38,0.59604
35,39,0.60474
36,40,0.61244
37,41,0.621
38,42,0.63236
39,43,0.64016
40,44,0.65038
41,45,0.65516
42,46,0.66724
43,47,0.67076
44,48,0.67688
45,49,0.69166
46,50,0.69452
47,51,0.70632
48,52,0.71176
49,53,0.7217
50,54,0.72776
51,55,0.73804
52,56,0.74438
53,57,0.7553
54,58,0.76234
55,59,0.76904
56,60,0.77598
57,61,0.78346
58,62,0.7905
59,63,0.79638
60,64,0.80562
61,65,0.80448
62,66,0.8182
63,67,0.82508
64,68,0.83414
65,69,0.8355
66,70,0.84362
67,71,0.8524
68,72,0.85786
69,73,0.86478
70,74,0.87146
71,75,0.87592
72,76,0.8797
73,77,0.88718
74,78,0.88848
75,79,0.8988
76,80,0.90076
77,81,0.90936
78,82,0.90854
79,83,0.91416
80,84,0.91882
81,85,0.9215
82,86,0.93082
83,87,0.93382
84,88,0.93574
85,89,0.94112
86,90,0.9434
87,91,0.94764
88,92,0.95072
89,93,0.95568
90,94,0.95704
91,95,0.96088
92,96,0.96356
93,97,0.96466
94,98,0.96652
95,99,0.97036
96,100,0.9736
97,101,0.97542
98,102,0.97534
99,103,0.97692
