,_step,train_ppl
0,4,3.2200352442168264e+45
1,5,2.6211196224812655e+65
2,6,5.882790587118553e+69
3,7,1.8428361797772636e+53
4,8,1.1639907368366898e+52
5,9,4.545882510855709e+60
6,10,6.940940124775037e+61
7,11,8.944890619838627e+64
8,12,8.773277653375394e+72
9,13,6.2664218519133826e+63
10,14,1.980101787764426e+54
11,15,1.1851662808805969e+85
12,16,2.1985774364124558e+88
13,17,1.0198009196405069e+90
14,18,8.710713718714707e+80
15,19,3.2434785912977255e+76
16,20,2.0355716104559773e+68
17,21,1.8570960235731547e+61
18,22,2.1055893883984334e+79
19,23,3.011243001961876e+116
20,24,8.974536701817795e+58
21,25,6.330161492014413e+96
22,26,2.5946316736381065e+116
23,27,1.1101101512795547e+110
24,28,3.8398572272736676e+72
25,29,7.033550719326133e+91
26,30,6.540454177012239e+79
27,31,9.270696584663248e+98
28,32,9.713617463526065e+84
29,33,9.995318352764012e+111
30,34,2.1330136051468812e+111
31,35,2.1655086457859193e+124
32,36,2.5794272573670746e+78
33,37,2.0483317820127537e+200
34,38,1.9795894890202454e+112
35,39,4.297877160695382e+112
36,40,5.56604669556107e+102
37,41,4.7061266496712704e+107
38,42,2.9960806151762818e+82
39,43,1.165160325615705e+101
40,44,3.0776999174701825e+141
41,45,1.7611018871325607e+118
42,46,2.1701112540667965e+152
43,47,1.525910634017975e+135
44,48,1.2497027671702303e+124
45,49,8.212739242214109e+108
46,50,3.226033644234896e+137
47,51,3.8126347483125713e+124
48,52,9.039381185530416e+150
49,53,Infinity
50,54,9.488329323494073e+140
51,55,5.021158672637975e+132
52,56,8.316125939610007e+162
53,57,7.814413898539137e+186
54,58,1.55913240512402e+124
55,59,2.4807735260633393e+183
56,60,8.252668766243212e+136
57,61,2.798295627143849e+114
58,62,1.2687450629858934e+150
59,63,9.450160464571799e+140
60,64,5.2481316130607714e+163
61,65,Infinity
62,66,2.7937307970078104e+155
63,67,2.7401166601652603e+218
64,68,1.8174759234404988e+162
65,69,1.0477707654139196e+286
66,70,6.163298952971555e+156
67,71,3.6452260827456665e+162
68,72,4.366961005527208e+127
69,73,2.546055751377767e+142
70,74,1.2534438925292291e+269
71,75,1.6261649148719465e+149
72,76,1.5418127061799833e+141
73,77,1.2130475042620978e+119
74,78,1.5807505031385963e+186
75,79,2.9486965979914116e+155
76,80,1.0985444853647322e+257
77,81,4.2301234990830077e+192
78,82,1.6119870625483683e+154
79,83,3.2685994652868944e+243
80,84,Infinity
81,85,2.8576982082234995e+119
82,86,6.491610778627894e+177
83,87,1.9077700636221232e+209
84,88,1.300939164131553e+126
85,89,2.25979527183086e+203
86,90,3.288291622344204e+185
87,91,1.9479615234965622e+173
88,92,1.9875147691221382e+194
89,93,1.1681764103342848e+223
90,94,1.9592090339788988e+157
91,95,2.7369588624373063e+169
92,96,7.098445567243376e+127
93,97,4.3736719714302666e+204
94,98,1.7419614509719254e+298
95,99,1.3036495418350547e+190
96,100,Infinity
97,101,6.979275096319482e+183
98,102,5.1786208892806345e+202
99,103,2.050267128796329e+222
